tier_price_id,id,tiered_price_starts_from,tiered_price
3049,2426,60,21.5
3197,2132,31,9.79
7,376,100,3.5
8,376,1000,3.0
9,667,300,2.0
10,667,3000,1.5
11,666,500,1.8
12,666,5000,1.3
13,238,200,2.0
14,238,1000,1.5
3198,2132,100,8.9
3199,1339,31,17.93
3327,2091,50,8.74
3328,2091,300,7.6
3329,2364,50,11.12
3330,2364,300,8.55
3331,2090,50,14.2
3332,2090,300,12.35
3333,2103,50,8.91
3334,2103,300,7.75
3335,2359,50,9.82
3336,2359,300,7.55
3337,2106,50,6.73
1933,1173,70,42.0
1934,1172,70,32.0
1935,1174,70,95.0
1936,1176,70,109.0
1937,1175,70,76.0
3338,2106,300,5.85
3339,2108,50,10.58
3340,2108,300,9.2
3341,2113,50,4.95
3342,2113,300,4.3
3343,2087,50,15.15
1938,1177,70,76.0
1939,1178,70,42.0
1940,1179,70,33.0
1941,1180,70,42.0
1942,1181,70,32.0
1943,1182,70,85.0
1944,1183,70,76.0
1945,1184,70,97.0
1946,1185,70,97.0
1947,2334,70,47.0
3344,2087,300,11.65
3345,2275,50,12.03
3346,2275,300,9.25
3347,2362,50,3.58
3348,2362,300,2.75
3349,2111,50,18.4
3350,2111,300,16.0
3351,2361,50,8.0
3352,2361,300,6.15
3353,2360,50,5.53
3200,1339,100,16.3
3201,2123,31,29.81
3202,2123,100,27.1
3203,2124,31,14.74
3204,2124,100,13.4
3205,2125,31,15.4
3206,2125,100,14.0
3207,2127,31,13.31
3208,2127,100,12.1
3209,2129,31,22.55
3210,2129,100,20.5
3211,2130,31,11.33
3212,2130,100,10.3
3213,2133,31,14.85
3214,2133,100,13.5
3215,2134,31,9.02
3216,2134,100,8.02
3217,2145,31,13.64
3218,2145,100,12.4
3219,2146,31,10.45
3220,2146,100,9.5
3221,2138,31,33.55
3222,2138,100,30.5
3223,2153,31,13.31
3224,2153,100,12.1
3225,2159,31,21.23
3226,2159,100,19.3
3227,2154,31,9.35
3228,2154,100,8.5
3229,2158,31,19.36
3230,2158,100,17.6
3231,2157,31,17.38
3232,2157,100,15.8
3233,2155,31,19.25
3234,2155,100,17.5
3235,2152,31,15.62
3236,2152,100,14.2
3237,2160,31,20.46
3238,2160,100,18.6
3239,2156,31,21.89
3240,2156,100,19.9
3241,2161,31,18.26
3242,2161,100,16.6
3243,2162,31,11.33
3244,2162,100,10.3
3245,2163,31,14.52
3246,2163,100,13.2
3050,490,50,28.35
3051,490,300,18.9
3052,659,50,18.75
3053,659,300,12.5
3054,663,50,17.25
3055,663,300,11.5
1948,2309,300,8.9
1949,2284,300,12.95
1950,2282,300,18.7
1951,2287,300,13.6
3056,657,80,19.2
1952,2299,300,9.2
1953,2308,300,6.95
3057,657,300,12.8
3058,658,50,22.43
3059,658,300,14.95
3060,487,200,15.54
3061,487,500,11.95
3062,489,200,14.56
3063,489,500,11.2
3064,661,50,15.45
3065,661,300,10.3
3066,2255,100,11.25
3067,2255,500,7.5
3068,2245,500,9.95
3069,2245,200,12.94
3070,2258,80,17.85
3071,2258,300,11.9
3072,2259,50,42.45
3073,2259,300,28.3
3074,662,50,14.93
3075,662,300,9.95
3354,2360,300,4.25
3355,2363,50,8.39
3356,2363,300,6.45
3357,2357,50,8.78
3358,2357,300,6.75
3359,2358,50,7.09
3360,2358,300,5.45
3361,2354,50,7.65
3362,2354,300,5.9
3363,2355,50,7.09
3364,2355,300,5.45
3365,2353,50,6.05
3366,2353,300,4.65
3367,2356,50,10.25
3368,2356,300,7.9
3369,2099,50,6.61
3370,2099,300,5.75
3371,2102,50,9.03
3372,2102,300,7.85
3373,2100,50,10.98
3374,2100,300,9.55
3375,2104,50,9.09
3376,2104,300,7.9
3377,2109,50,12.19
3378,2109,300,10.6
3379,2110,50,12.36
3380,2110,300,10.75
3381,2105,50,9.03
3382,2105,300,7.85
3383,2107,50,9.83
3384,2107,300,8.55
3385,2112,50,7.99
3386,2112,300,6.95
3387,2115,50,5.69
3388,2115,300,4.95
3389,2114,50,8.11
3390,2114,300,7.05
3391,2117,50,4.43
3392,2117,300,3.85
3393,2116,50,10.98
3394,2116,300,9.55
3395,2118,50,9.37
3396,2118,300,8.15
3397,2119,50,6.38
3398,2119,300,5.55
3247,2164,31,12.21
3248,2164,100,11.1
3249,1796,31,18.81
3250,1796,100,17.1
3251,2150,31,26.73
3252,2150,100,24.3
3253,2170,31,21.78
3254,2170,100,19.8
3255,2151,31,10.56
3256,2151,100,9.6
3257,2168,31,11.22
3258,2168,100,10.2
3259,2147,31,8.58
3260,2147,100,7.8
3261,2274,31,14.74
3262,2274,100,13.4
3263,2273,31,10.56
3264,2273,100,9.6
3265,2120,31,29.7
3266,2120,100,27.0
3267,2126,31,19.14
3268,2126,100,17.4
3269,1335,31,15.84
3270,1335,100,14.4
3271,1338,31,15.73
3272,1338,100,14.3
3273,1341,31,17.27
3274,1341,100,15.7
3275,1344,31,21.78
3276,1344,100,19.8
3277,2122,31,9.35
3278,2122,100,8.5
3279,1337,31,18.92
3280,1337,100,17.2
3281,2131,31,15.18
3282,2131,100,13.8
3283,2135,31,9.24
3284,2135,100,8.4
3285,2137,31,29.04
3286,2137,100,26.4
3287,2140,31,9.02
3288,2140,100,8.2
3289,2141,31,15.29
3290,2141,100,13.9
3291,2142,31,8.58
3292,2142,100,7.8
3293,2144,31,9.57
3294,2144,100,8.7
3295,2148,31,10.12
3296,2148,100,9.2
3297,2149,31,10.89
3298,2149,100,9.9
3299,1342,31,21.23
3300,1342,100,19.3
3301,2165,31,14.74
3302,2165,100,13.4
3303,2166,31,21.01
3304,2166,100,19.1
3305,2167,31,7.48
3306,2167,100,6.8
3307,2169,31,10.89
3308,2169,100,9.9
3309,2128,31,23.43
3310,2128,100,21.3
3311,2121,31,27.06
3312,2121,100,24.6
3313,2136,31,12.76
3314,2136,100,11.6
3315,1340,31,14.19
3316,1340,100,12.9
3317,1797,31,19.8
3318,1797,100,18.0
3319,1345,31,16.72
3320,1345,100,15.2
3321,1336,31,16.94
3322,1336,100,15.4
3323,1343,31,18.15
3324,1343,100,16.5
3325,1798,31,60.5
3326,1798,100,55.0
3420,2335,50,70.0
3421,2335,500,65.0
3422,2335,1000,55.0
3423,2335,5000,45.0
3424,2070,50,86.0
3425,2070,500,81.0
3426,2070,1000,71.0
3427,2070,5000,61.0
3491,1984,350,21.8
3492,1983,350,21.9
3493,1985,300,21.5
3494,1982,320,28.8
3495,1978,320,9.8
3496,1979,360,9.8
3497,1977,300,15.8
3498,1980,315,12.8
3499,1976,320,8.2
1954,2315,300,11.95
1955,2313,300,12.1
1956,2280,300,10.3
1957,2281,300,9.5
1958,2283,300,13.4
1959,2285,300,12.9
1960,2286,300,12.9
1961,2297,300,7.5
1962,2291,300,8.8
1963,2290,300,8.8
1964,2295,300,9.1
1965,2288,300,6.35
1966,2292,300,5.0
1967,2289,300,6.95
1968,2296,300,6.8
1969,2293,300,8.1
1970,2298,300,10.45
1971,2300,300,8.5
1972,2301,300,12.4
1973,2303,300,5.95
1974,2302,300,5.9
1975,2304,300,6.95
1976,2305,300,6.15
1977,2311,300,17.9
1978,2310,300,18.4
1979,2312,300,9.5
1980,2317,300,7.9
1981,2316,300,8.45
1982,2314,300,12.9
1983,2318,300,6.2
1984,2294,300,7.9
3076,494,200,9.05
3077,494,500,6.95
3078,486,80,24.75
3079,486,300,16.5
3080,652,200,20.54
3081,652,500,15.8
3082,492,200,14.15
3083,492,500,10.9
3084,500,80,28.35
3085,500,300,18.9
3086,499,80,28.35
3087,499,300,18.9
3088,493,200,11.95
3089,493,500,9.2
3090,664,80,26.25
3091,664,300,17.5
3092,501,80,36.75
3093,501,300,24.5
3094,653,80,22.35
3095,653,300,14.9
1985,2306,300,8.3
1986,2307,300,6.95
3096,495,80,20.85
3097,495,300,13.9
3098,649,80,26.85
3099,649,300,17.9
3100,660,50,20.7
3101,660,300,13.8
3102,650,80,26.25
3103,650,300,17.5
3104,651,80,25.35
3105,651,300,16.9
3106,2264,200,17.1
3107,2264,500,11.4
3108,2249,80,26.85
3109,2249,300,17.9
3110,2250,80,40.35
3111,2250,300,26.9
3112,497,200,9.25
3113,497,500,7.1
3114,654,200,14.25
3115,654,300,10.95
3116,496,50,23.85
3117,496,300,15.9
3118,655,200,11.635
3119,655,500,8.95
3120,656,200,12.75
3121,656,500,9.8
3122,488,200,12.35
3123,488,500,9.5
3124,491,50,26.85
3125,491,300,17.9
3126,2251,200,13.78
3127,2251,500,10.6
3128,498,200,14.25
3129,498,500,10.95
3130,2276,50,12.99
3131,1202,50,7.99
3132,849,50,20.99
3133,1410,50,12.99
3134,2328,50,7.99
3135,2320,50,8.99
3136,2322,70,10.0
3137,1134,50,10.5
3138,1132,50,10.5
3139,1139,50,10.5
3140,2330,50,17.9
3141,2324,70,9.99
3142,2325,70,10.6
3143,2327,50,9.9
3144,2326,50,8.6
3145,2329,50,10.99
3146,2331,50,10.9
3147,2332,50,12.8
3148,1506,80,26.85
3149,2319,50,3.99
3150,2321,50,8.99
3151,2333,50,5.5
3152,1124,50,27.5
3153,1413,50,6.99
3154,1194,50,13.99
3155,1126,50,11.99
3156,1130,70,8.99
3157,1128,50,12.99
3158,1129,50,13.99
3159,1135,50,10.5
3160,1204,50,7.99
3161,1205,50,10.99
3162,1131,50,13.99
3163,1140,50,8.5
3164,1207,50,9.5
3165,1195,50,18.5
3166,1141,50,12.5
3167,1206,50,7.5
3168,1127,50,12.0
3169,1210,50,29.0
3170,842,50,17.5
3171,1143,50,15.99
3172,1411,50,9.5
3173,1409,50,13.99
3174,1187,50,11.99
3175,1142,50,15.9
3176,1188,50,12.99
3177,1189,50,11.5
3178,845,50,11.9
3179,844,50,40.0
3180,846,50,38.9
3181,843,50,40.0
3182,1190,50,11.99
3183,1136,50,9.99
3184,1192,50,8.99
3185,1137,50,7.99
3186,1193,50,14.99
3187,1191,50,6.99
3188,1138,50,7.5
3189,1125,50,28.5
3190,1203,50,10.99
3191,1209,50,14.5
3192,847,50,10.99
3193,1133,50,9.5
3194,1412,50,14.95
3195,1208,50,8.99
3196,848,50,14.99
